name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Great space in historical San Rafael,265650,Maris,Cuauhtémoc,19.43977,-99.15605,Entire home/apt,600,4,56,0.46,2,365
Entire beautiful duplex in la Roma,282620,Laura,Cuauhtémoc,19.42292,-99.15775,Entire home/apt,1479,15,42,0.37,1,171
Spacious Clean Quiet room (own bath) in la Condesa,299558,Roberto,Cuauhtémoc,19.41259,-99.17959,Private room,1249,2,52,1.26,2,180
"2 bedroom apt. deco bldg, Condesa",334451,Nicholas,Cuauhtémoc,19.41152,-99.16857,Entire home/apt,1963,4,39,0.34,2,310
Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,Coyoacán,19.35601,-99.16167,Entire home/apt,928,10,103,0.93,3,248
MARIA DEL ALMA,647454,Fernando,Coyoacán,19.35266,-99.16338,Private room,1397,1,0,0.0,3,0
Cool room near WTC and Metrobus,816295,Carlos,Benito Juárez,19.39549,-99.17616,Private room,250,4,71,0.83,2,363
"Huge Luxurious Suite 70's style, perfectly located",36836,Roberto,Cuauhtémoc,19.4239,-99.1689,Entire home/apt,1494,3,36,0.33,1,365
Colorful and spacious Apt. Family favorite,899360,Julian,Cuauhtémoc,19.41057,-99.1773,Entire home/apt,1853,28,97,0.85,4,364
Sunny and fresh Retro style Apartment,899360,Julian,Cuauhtémoc,19.41057,-99.1773,Entire home/apt,1335,28,64,0.57,4,364
Smack in the Middle of La Condesa,970609,Morgana & Omar,Cuauhtémoc,19.41395,-99.17948,Entire home/apt,833,2,171,1.47,3,346
"Traditional neighborhood: Escandón, Condesa & Roma",998053,MaryJo,Miguel Hidalgo,19.40409,-99.17731,Entire home/apt,800,3,26,0.24,1,363
"Condesa, one of the best zones.",184410,Veronica,Cuauhtémoc,19.40454,-99.1715,Entire home/apt,616,7,8,0.11,1,62
TRENDY APARTMENT IN ZONA ROSA!! SUPER LOCATION!!,1288063,Francisco,Cuauhtémoc,19.4251,-99.17067,Entire home/apt,812,1,274,2.38,2,262
"Independent studio, top location",1297488,Petra,Cuauhtémoc,19.43516,-99.13806,Private room,625,3,80,0.71,3,364
"""Chavela"" Private & Furnished Room",1326107,Jacqueline,Cuauhtémoc,19.41328,-99.15513,Private room,298,5,16,0.14,4,0
Tours in Mexico city,855066,Andrea,Azcapotzalco,19.49808,-99.19187,Private room,679,1,1,0.01,1,365
Charming 1BR flat in Roma/Condesa,1373924,Eric,Cuauhtémoc,19.41835,-99.17363,Entire home/apt,931,3,356,3.17,1,14
Great location in Mexico City!,1417206,Ma. Carmen,Miguel Hidalgo,19.42686,-99.17838,Entire home/apt,1956,5,13,0.12,1,365
High End Condo with golf package,1444589,Michael,Iztacalco,19.38061,-99.12729,Entire home/apt,2067,7,0,0.0,1,5
COOL PENT HOUSE APARTMENT @CONDESA,196253,Condesa Haus Bed & Breakfast  CDMX,Cuauhtémoc,19.41125,-99.17634,Hotel room,1725,1,7,0.09,10,304
Furnished lovely cozy studio,1497087,Penelope,Cuauhtémoc,19.41241,-99.1753,Entire home/apt,513,1,303,3.26,10,350
A nice room with great location,1511568,Luis Ernesto,Benito Juárez,19.36294,-99.15415,Private room,618,2,0,0.0,1,365
"The ""home"" feeling in Mexico City!",1539548,Paulina,Cuauhtémoc,19.43327,-99.14527,Entire home/apt,1562,3,120,1.1,1,53
Perfect parkfront apt full of light,1608293,Mariel,Benito Juárez,19.40042,-99.14807,Entire home/apt,1441,3,35,0.32,2,31
Comfy in the Middle of La Condesa,970609,Morgana & Omar,Cuauhtémoc,19.41368,-99.17907,Entire home/apt,827,2,177,1.62,3,333
2Room new apartment in modern complex,1661848,David,Miguel Hidalgo,19.45809,-99.19258,Entire home/apt,659,2,35,0.37,1,358
"Confortable private room, downtown Mexico City.",1666388,Angeles (Anjali),Cuauhtémoc,19.43319,-99.14665,Private room,598,3,107,1.23,1,5
WONDERFUL ROOM IN COYOACAN HOUSE,1664327,Edoardo,Coyoacán,19.34034,-99.18345,Private room,308,2,193,1.96,2,90
Room in Contemporary chic apartment- Top location,1670032,Isabel,Cuauhtémoc,19.41444,-99.15734,Private room,607,2,97,1.34,1,60
Stay at a meditation center,1681966,Ra Fa El -- Nahui Cuauhtli,Cuauhtémoc,19.41007,-99.13434,Private room,411,22,0,0.0,2,0
Habitación Verde.,1683373,Miguel,Tlalpan,19.27428,-99.1781,Private room,289,2,15,0.34,5,363
"CONDESA COZY, COMFORTABLE APARTMENT",1691633,Sandro & Ines,Cuauhtémoc,19.41975,-99.17341,Entire home/apt,1587,3,337,3.06,1,211
Great Place to stay,1762542,Rosario,Coyoacán,19.35179,-99.14956,Private room,824,1,0,0.0,1,0
beautiful furnished room Rome area,1773936,Elizabeth,Cuauhtémoc,19.40421,-99.16553,Private room,1134,5,0,0.0,1,365
Recámara luminosa y jardín,1808252,Sara,Miguel Hidalgo,19.40215,-99.24135,Private room,2059,1,0,0.0,1,365
Modern 2 Bedroom Apt. Near Reforma,1832239,Maria  & Jennifer,Cuauhtémoc,19.42947,-99.17083,Entire home/apt,1353,2,18,0.18,1,333
Condesa Roma WTC Studio Loft Top Covd Protection,618769,Ricardo,Cuauhtémoc,19.40213,-99.16924,Entire home/apt,439,1,321,2.93,2,360
"Great Accommodation in Condesa , modern , secure",1821523,Jorge,Cuauhtémoc,19.41277,-99.17546,Private room,930,2,11,0.1,1,365
DISTRITO CONDESA B&B  relax enjoy,1886913,Distrito Condesa,Cuauhtémoc,19.4075,-99.17561,Private room,1350,1,46,0.43,10,365
SALUDOS MI NOMBRE ES FERNANDO,1918084,,Miguel Hidalgo,19.45684,-99.17179,Private room,700,1,0,0.0,1,2
Cute Sofa Bed in South Mexico City,1915348,Lucrecia,Benito Juárez,19.36905,-99.18303,Shared room,1030,1,0,0.0,1,0
"Room in colonial, green, enjoyable COYOACAN",1933252,Esther,Coyoacán,19.34303,-99.15425,Private room,292,3,10,0.12,2,363
Colorfull  Mid-Century inspired apartment.,899360,Julian,Cuauhtémoc,19.41068,-99.17732,Entire home/apt,1538,28,12,0.12,4,364
Comfy clean Roøm @Cozy apartment,2084312,Sara,Cuauhtémoc,19.41238,-99.17722,Private room,687,3,53,0.93,1,88
"Nice Studio, 50 mts of terrace.",2099653,,Benito Juárez,19.38942,-99.1358,Private room,360,3,8,0.21,5,363
Explore the City's Historic Center,2256144,,Cuauhtémoc,19.42577,-99.13721,Private room,515,1,2,0.02,1,365
"Condesa, ideal location apartment",1601561,Sylvia Eugenia,Cuauhtémoc,19.40618,-99.17342,Entire home/apt,1487,2,223,2.11,1,333
Nice and cozy room with terrace!!!!,1767559,Anna,La Magdalena Contreras,19.33021,-99.21677,Private room,823,3,2,0.03,2,365
habitación privada cerca de polanco,2269083,Alondra,Miguel Hidalgo,19.44338,-99.18841,Private room,206,2,44,0.41,5,299
Lit room with balcony new Polanco,2269083,Alondra,Miguel Hidalgo,19.44562,-99.18847,Shared room,310,2,61,0.57,5,117
Departamento  Roma Norte- Sanitizado,2281290,Suites,Cuauhtémoc,19.42675,-99.1613,Entire home/apt,534,1,24,0.36,50,356
bien ubicado📍luminoso +🛌🌙️+10 min Reforma+🌈,2409917,Darío,Cuauhtémoc,19.43898,-99.16142,Entire home/apt,609,2,23,0.21,3,362
Luxury Room for rent in Santa Fe area México City,2428947,Esther,Miguel Hidalgo,19.38875,-99.24067,Private room,1200,7,0,0.0,1,275
Nice big room near airport,2547499,Irma,Venustiano Carranza,19.43784,-99.07903,Private room,318,1,154,4.23,3,2
Beautiful  bedroom in Mexico City near Sta Fe,2566613,Flor,Álvaro Obregón,19.38751,-99.22409,Private room,515,2,0,0.0,1,87
Roma Condesa Espectacular Home,158585,Fernando,Cuauhtémoc,19.41887,-99.17333,Entire home/apt,1963,2,186,1.77,1,326
Great Apartment w/Balcony & Excellent Location!,2732644,Paola,Cuauhtémoc,19.42924,-99.15699,Entire home/apt,870,2,29,0.41,1,362
amazing flat in the heart of CONDES,2761952,Fatima,Miguel Hidalgo,19.40598,-99.1807,Entire home/apt,800,1,3,0.04,1,331
Un descanso en CDMX,2336127,Ana Karen,Cuauhtémoc,19.45553,-99.15988,Private room,210,7,24,0.35,1,362
"""Frida"" beautiful Private Room",1326107,Jacqueline,Cuauhtémoc,19.41484,-99.15613,Private room,399,5,8,0.09,4,251
